,batch,method,dataset,selection_id,data_id,file_names,selection_name,processing,ct_key,n_cts,cells_per_ct_seed,cells_per_ct,bootstrap_seed,permutation,n,gene_key,batch_key,method_specific_processing
0,batch_permutations_bone_marrow,spapros,bone_marrow,1,41,selection/spapros_0_bone_marrow_41.csv,spapros_0_bone_marrow_41,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv:permutation_0,50,highly_variable,id,False
1,batch_permutations_bone_marrow,spapros,bone_marrow,1,42,selection/spapros_0_bone_marrow_42.csv,spapros_0_bone_marrow_42,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv:permutation_1,50,highly_variable,id,False
2,batch_permutations_bone_marrow,spapros,bone_marrow,1,43,selection/spapros_0_bone_marrow_43.csv,spapros_0_bone_marrow_43,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv:permutation_2,50,highly_variable,id,False
3,batch_permutations_bone_marrow,spapros,bone_marrow,1,44,selection/spapros_0_bone_marrow_44.csv,spapros_0_bone_marrow_44,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv:permutation_3,50,highly_variable,id,False
4,batch_permutations_bone_marrow,spapros,bone_marrow,1,45,selection/spapros_0_bone_marrow_45.csv,spapros_0_bone_marrow_45,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv:permutation_4,50,highly_variable,id,False
5,batch_permutations_bone_marrow,spapros,bone_marrow,1,46,selection/spapros_0_bone_marrow_46.csv,spapros_0_bone_marrow_46,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv:permutation_5,50,highly_variable,id,False
6,batch_permutations_bone_marrow,spapros,bone_marrow,1,47,selection/spapros_0_bone_marrow_47.csv,spapros_0_bone_marrow_47,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv:permutation_6,50,highly_variable,id,False
7,batch_permutations_bone_marrow,spapros,bone_marrow,1,48,selection/spapros_0_bone_marrow_48.csv,spapros_0_bone_marrow_48,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv:permutation_7,50,highly_variable,id,False
8,batch_permutations_bone_marrow,spapros,bone_marrow,1,49,selection/spapros_0_bone_marrow_49.csv,spapros_0_bone_marrow_49,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv:permutation_8,50,highly_variable,id,False
9,batch_permutations_bone_marrow,spapros,bone_marrow,1,50,selection/spapros_0_bone_marrow_50.csv,spapros_0_bone_marrow_50,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv:permutation_9,50,highly_variable,id,False
10,batch_permutations_bone_marrow,spapros,bone_marrow,1,51,selection/spapros_0_bone_marrow_51.csv,spapros_0_bone_marrow_51,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv:permutation_10,50,highly_variable,id,False
11,batch_permutations_bone_marrow,spapros,bone_marrow,1,52,selection/spapros_0_bone_marrow_52.csv,spapros_0_bone_marrow_52,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv:permutation_11,50,highly_variable,id,False
12,batch_permutations_bone_marrow,spapros,bone_marrow,1,53,selection/spapros_0_bone_marrow_53.csv,spapros_0_bone_marrow_53,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv:permutation_12,50,highly_variable,id,False
13,batch_permutations_bone_marrow,spapros,bone_marrow,1,54,selection/spapros_0_bone_marrow_54.csv,spapros_0_bone_marrow_54,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv:permutation_13,50,highly_variable,id,False
14,batch_permutations_bone_marrow,spapros,bone_marrow,1,55,selection/spapros_0_bone_marrow_55.csv,spapros_0_bone_marrow_55,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv:permutation_14,50,highly_variable,id,False
15,batch_permutations_bone_marrow,spapros,bone_marrow,1,56,selection/spapros_0_bone_marrow_56.csv,spapros_0_bone_marrow_56,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv:permutation_15,50,highly_variable,id,False
16,batch_permutations_bone_marrow,spapros,bone_marrow,1,57,selection/spapros_0_bone_marrow_57.csv,spapros_0_bone_marrow_57,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv:permutation_16,50,highly_variable,id,False
